reference_start,reference_end,testing_start,testing_end,moving_average_window,test_return_pct,win_rate_pct,max_drawdown_pct,num_trades,final_equity
2014-01-02,2016-12-30,2017-01-03,2017-12-29,200,45.58240224318857,100.0,-8.635289591816154,1,14558.240224318857
2015-01-02,2017-12-29,2018-01-02,2018-12-31,200,2.018281851751924,75.0,-16.91727888496053,4,10201.828185175193
2016-01-04,2018-12-31,2019-01-02,2019-12-31,200,40.73601463261998,33.33333333333333,-12.142166854499404,3,14073.601463261997
2017-01-03,2019-12-31,2020-01-02,2020-12-31,200,43.86490335172479,40.0,-35.27953673591403,5,14386.490335172479
2018-01-02,2020-12-31,2021-01-04,2021-12-31,200,31.75583945300613,66.66666666666666,-18.586793721094107,3,13175.583945300614
2019-01-02,2021-12-31,2022-01-03,2022-12-30,200,-27.459995567729113,33.33333333333333,-27.459995567729113,6,7254.000443227089
2020-01-02,2022-12-30,2023-01-03,2023-12-29,200,16.486274249022802,50.0,-14.946487511176676,4,11648.62742490228
2021-01-04,2023-12-29,2024-01-02,2024-12-31,200,32.948466044385086,66.66666666666666,-11.682600902739749,3,13294.846604438508
2022-01-03,2024-12-31,2025-01-02,2025-12-31,200,7.533933842036666,100.0,-12.326656971700645,2,10753.393384203666
